Country,ISO- Alpha3 Code,M49 Code,NSS,Defence Doc,NATO,UNSD Regions,Freedom House 2024,ODA 2024,ODA Recipient Status 2024,Crowards State Size (act. and est.),World Bank Small State Forum Members 2024,AU,AU Year Joined,AU Year Left,AUKUS,AUKUS Year Joined,ANZUS,ANZUS Year Joined,ANZUS Year left,ASEAN,ASEAN Year Joined,ASEAN Year Left,CIS,CIS Year Joined,CIS Year Left,CSTO,CSTO Year Joined,CSTO Year Left,DCAF,DCAF Year Joined,DCAF Year Left,EU,EU Year Joined,EU Year Left,NATO,NATO Year Joined (Most Recent Position),NATO PFP,NATO PFP Year Joined,OAS,OAS Year Joined,OAS Year Left,OSCE,OSCE Year Joined,OSCE Year Left,SCO,SCO Year Joined,UFM,UFM Year Joined,BRICS,BRICS Year Joined
Nicaragua,NIC,558,N,Y,non-NATO,Central America,Not Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,2023,,,,,,,,,
Niger,NER,562,Y,N,non-NATO,Western Africa,Partly Free,ODA,LDC,Medium-Small,N,M,1963&2011,2010&2023,,,,,,,,,,,,,,,M,2018,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,566,Y,N,non-NATO,Western Africa,Partly Free,ODA,LMIC,Medium-Large,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,MKD,807,N,Y,NATO,Southern Europe,Partly Free,ODA,UMIC,Small,N,,,,,,,,,,,,,,,,,,M,2000,,,,,M,2020,,,,,,PC,1995,,,,M,2008,,
Norway,NOR,578,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,,,,EEA,,,M,1949,,,,,,PC,1973,,,,,,,
Pakistan,PAK,586,Y,N,non-NATO,Southern Asia,Partly Free,ODA,LMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,GP,2004,,,,,,,,,M,2017,,,,
Palau,PLW,585,Y,N,non-NATO,Micronesia,Free,ODA,UMIC,Micro (est.),Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,598,Y,N,non-NATO,Melanesia,Partly Free,ODA,LMIC,Medium-Small,N,,,,,,,,,OB,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,600,N,Y,non-NATO,South America,Partly Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Peru,PER,604,N,Y,non-NATO,South America,Partly Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Philippines,PHL,608,Y,Y,non-NATO,South-eastern Asia,Partly Free,ODA,LMIC,Medium-Large,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,POL,616,Y,Y,M,Eastern Europe,Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,M,2000,,M,2004,,M,1999,,,,,,PC,1973,,,,M,2008,,
Portugal,PRT,620,N,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2003,,M,1986,,M,1949,,,,,,PC,1973,,,,M,2008,,
Republic of Korea,KOR,410,N,Y,non-NATO,Eastern Asia,Free,non-ODA,N/A,Medium-Large (est.),N,,,,,,,,,,,,,,,,,,,,,,,,GP,2012,,,,,,PFC,1994,,,,,,,
Romania,ROU,642,Y,Y,M,Eastern Europe,Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,M,2007,,M,2004,,,,,,PC,1973,,,,M,2008,,
Russia,RUS,643,Y,Y,non-NATO,Eastern Europe,Not Free,non-ODA,N/A,Very Large,N,,,,,,,,,,,,M,1993,,M,1994,,,,,,,,,,M,1994,,,,PC,1973,,M,1996,,M,M,
Rwanda,RWA,646,Y,N,non-NATO,East Africa,Not Free,ODA,LDC,Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,WSM,882,Y,N,non-NATO,Polynesia,Free,ODA,LMIC,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,682,Y,Y,non-NATO,Western Asia,Not Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,688,Y,Y,non-NATO,Southern Europe,Partly Free,ODA,UMIC,Medium-Small (est.),N,,,,,,,,,,,,,,,OB,2013,,,,,,,,IPAP,2015,M,2006,,,,PC,1973,,,,,,,
Montenegro,SCG,891,N,Y,M,Southern Europe,N/A,non-ODA,n/a,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,694,N,Y,non-NATO,Western Africa,Partly Free,ODA,LDC,Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,702,Y,N,non-NATO,South-eastern Asia,Partly Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,SVK,703,Y,Y,M,Eastern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,M,2000,,M,2004,,M,2004,,,,,,PC,1993,,,,M,2008,,
Slovenia,SVN,705,Y,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,M,2004,,M,2004,,,,,,PC,1992,,,,M,2008,,
Solomon Is.,SLB,90,Y,N,non-NATO,Melanesia,Free,ODA,LDC,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,710,N,Y,non-NATO,Southern Africa,Free,ODA,UMIC,Medium-Large,N,M,1994,,,,,,,,,,,,,,,,M,2001,,,,,,,,,,,,,,,,,,M,M,
Spain,ESP,724,Y,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Large (est.),N,,,,,,,,,,,,,,,,,,M,2001,,M,1986,,M,1982,,,,,,PC,1973,,,,M,2008,,
St. Kitts and Nevis,KNA,659,Y,N,non-NATO,Caribbean,Free,non-ODA,N/A,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1984,,,,,,,,,,
Sweden,SWE,752,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2001,,M,1995,,M,2024,,,,,,PC,1973,,,,M,2008,,
Switzerland,CHE,756,N,Y,non-NATO,Western Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,M,2000,,,,,,,M,1996,,,,PC,1973,,,,,,,
Taiwan,TWN,158,N,Y,non-NATO,Eastern Asia,Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,764,Y,N,non-NATO,South-eastern Asia,Partly Free,ODA,UMIC,Medium-Large,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,PFC,2000,,,,,,,
Timor-Leste,TLS,626,N,Y,non-NATO,South-eastern Asia,Free,ODA,LDC,Micro (est.),Y,,,,,,,,,OB,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,780,Y,N,non-NATO,Caribbean,Free,non-ODA,N/A,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1967,,,,,,,,,,
Turkey,TUR,792,N,Y,M,Western Asia,Not Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,M,1952,,,,,,PC,1973,,DP,2012,M,2008,,
Uganda,UGA,800,N,Y,non-NATO,Eastern Africa,Not Free,ODA,LDC,Medium-Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,804,Y,Y,non-NATO,Eastern Europe,Partly Free,ODA,LMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,M,2000,,,,,ID,2005,M,1994,,,,PC,1992,,,,,,,
United Arab Emirates,ARE,784,Y,N,non-NATO,Western Asia,Not Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,2024,M,
United Kingdom,GBR,826,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Large (est.),N,,,,M,2021,,,,,,,,,,,,,M,2000,,Former member,1973,2020,M,1949,,,,,,PC,1973,,,,,,
United States of America,USA,840,Y,Y,NATO,Northern America,Free,non-ODA,N/A,Very Large (est.),N,,,,M,2021,M,1952,,,,,,,,,,,,,,,,,M,1949,,,M,1948,,PC,1973,,,,,,,
Uruguay,URY,858,N,Y,non-NATO,South America,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
